Mixture	Neu	Oli	Ast	Mic	End	P-value	Correlation	RMSE
X103_120418_3	0.446679572014988	0.14558177697506	0.19760569246962	0.199622698206967	0.0105102603333641	0	0.721552371984616	0.700039948858875
X33_120416_3	0.511347842517338	0.202089641399044	0.127573578599926	0.143893888723724	0.015095048759967	0	0.620791054427011	0.788560365806669
X270_120430_3	0.420352519244576	0.127848796604681	0.187547361301726	0.245040060451481	0.0192112623975366	0	0.663207291597711	0.748955678324867
X616_120524_3	0.477566973374418	0.142777792917808	0.169469508265461	0.160646187995893	0.0495395374464189	0	0.602897458817552	0.796717032412787
X353_120501_3	0.231317113639147	0.169885793465966	0.239116380622168	0.30374901179626	0.0559317004764596	0	0.600289811807068	0.799921004673112
X349_120501_3	0.454194309482622	0.12997045799779	0.142187914318356	0.21346733490802	0.0601799832932123	0	0.592299188736939	0.80564794501692
X56_120417_3	0.354868469600789	0.263816788203046	0.183967601538478	0.173111328301375	0.0242358123563133	0	0.712786844554682	0.715640543807165
X459_120514_3	0.385020432441814	0.289071545492789	0.199538171222228	0.0448197625145118	0.0815500883286577	0	0.763072079270851	0.678473467477871
X386_120503_3	0.430296005946543	0.101500769802568	0.20260560416574	0.258624946706185	0.00697267337896385	0	0.660425335927107	0.749506056157593
X283_120430_3	0.621033331437701	0.0823839324717289	0.102181004358319	0.19042889554063	0.00397283619162075	0	0.470536792788647	0.881783754530524
X506_120515_3	0.354390880981866	0.184139823424782	0.157362751305583	0.274376745031179	0.0297297992565902	0	0.601190764503399	0.797979179103084
X657_120529_3	0.572849838597638	0.244568263170532	0.0478517726557844	0.0943526646315988	0.0403774609444466	0	0.437236512312188	0.896710948528895
X625_120524_3	0.454452308671154	0.226112124655618	0.133055739991963	0.127102132113123	0.0592776945681412	0	0.5633921630579	0.826361284647441
X707_120531_3	0.434640253768031	0.286737621335275	0.226444981805926	0.0442167603070635	0.00796038278370404	0	0.739720726985623	0.683967530895177
X419_120507_3	0.308112177534204	0.195847805629171	0.170712159132064	0.225894497193594	0.0994333605109672	0	0.706432774384574	0.725640964782062
X340_120501_3	0.527138671798616	0.200467422538431	0.0759464526835816	0.106427621947196	0.0900198310321754	0	0.52587784806877	0.852168891297894
X69_120417_3	0.384349672603873	0.219206817689505	0.19225617952443	0.197416650523921	0.0067706796582715	0	0.667278596781013	0.747112880891585
X476_120514_3	0.240061153789035	0.371117185094748	0.169964389335272	0.167692350080884	0.0511649217000615	0	0.677593035659839	0.749128044675946
X130_120419_3	0.52179345402225	0.101962045229559	0.152536997409014	0.216546358912575	0.00716114442660159	0	0.526847828779752	0.848452747694337
